Description,SalesDollars,SalesPrice,ProfitMargin
Alibi Whiskey,531.72,18.99,0.3274143576109614
Alice White Cab Svgn Ausl,13.99,13.99,0.24120731242640073
Alice White Chard Ausl,43800.57,11.100719677906392,0.19139204857088363
Alice White Lexia Muscato,512.85,8.019411764705882,0.13826595847071949
Alice White Shiraz Ausl,17023.14,10.790714924039321,0.18604712980607419
Alisios Pinot Grigio,119.88,9.99,0.17224167627875223
Alisios Tempranillo Touriga,389.61,9.99,0.17224167627875223
Alize Coco Liqueur,95.94,15.99,0.275690130500225
Alize Gold Passion,19.99,19.99,0.3446557666478735
Alize Red Passion,139.93,19.99,0.3446557666478735
Allan Scott Svgn Bl,455.64,12.156666666666666,0.20959806252539517
Allegrini Amarone Clsc,12398.449999999999,79.99,1.3791403088626015
Allegrini Dedicato A Walter,269.96999999999997,89.99,1.551554399231723
Allegrini La Grola Veronese,629.79,29.99,0.5170698570169948
Allegrini La Poja,539.9399999999999,89.99,1.551554399231723
Allegrini Palazzo Della Tor,67061.20999999999,19.85974063400576,0.34240991163787804
Allegrini Solosole Vermentin,1849.03,19.370952380952378,0.33398251343454693
Allegrini Sondraia,3134.37,49.64909090909091,0.8560202846744721
Allegrini Valpolicella Clsc,19738.41,15.690248756218907,0.270521996696872
Allen's Amaretto Liqueur,101.83,5.99,0.10327604013110368
Allen's Blue Curacao Liqueur,5.99,5.99,0.10327604013110368
Allen's Ginger Brandy,464.7,15.49,0.26706942598176897
Allen's Melon Liqueur,5.99,5.99,0.10327604013110368
Allen's Peach Schnapps,11.98,5.99,0.10327604013110368
Allen's Pomegranate Liqueur,107.82000000000001,5.99,0.10327604013110368
Allen's Sour Apple Liqueur,23.96,5.99,0.10327604013110368
Allens Coffee Brandy,540403.56,11.775389489377563,0.20302430675531447
Allens Coffee Brandy Trv,280.17,8.49,0.146379562723384
Allens Triple Sec,12668.630000000001,2.99,0.05155181302036728
Alma Negra Gran Almanegra,249.95000000000002,49.99,0.8618980377552377
Almaden B/B Wh Znfdl Cal,96892.04,15.690024527839096,0.270518130683658
Almaden Burgundy B/B,89359.33,15.533423057389536,0.26781810067585526
Almaden Cab Svgn Cal B/B,173797.08,16.642439934338157,0.2869391142801653
Almaden Chablis B/B,103053.05,15.697947342759628,0.27065473117642663
Almaden Chard Cal,4935.51,8.99,0.1550002672418401
Almaden Chard Cal B/B,299322.23,16.754161496999895,0.2888653514402593
Almaden Merlot Cal B/B,148332.38999999998,16.6136629916077,0.2864429592397177
Almaden Moscato,1151.36,17.99,0.31017294857404926
Almaden Moscato Rhine,260.71,8.99,0.1550002672418401
Almaden Mt Rhine Calif B/B,106528.44,15.85209286209286,0.27331241712645815
Almaden Pnt Grigio B/B,5560.71,16.887959183673466,0.2911722120843909
Almaden Wh Znfdl Cal,233.73999999999998,8.99,0.1550002672418401
Almaviva Rothschild & CyToro,2999.7000000000003,99.99,1.7239684896008443
Almirez 07 Tinta de Toro,3201.75,25.713404255319148,0.4433353204974345
Alpataco Malbec,575.64,15.99,0.275690130500225
Alpataco Pnt Nr,735.54,15.99,0.275690130500225
Alphonse Dolly Pnt Nr,83.94,13.99,0.24120731242640073
Alphonse Dolly Pouilly-Fume,1914.1599999999999,22.886551724137927,0.3945963997203086
Alphonse Dolly Sancerre Cvee,41356.979999999996,22.98009900990099,0.3962092867384425
Alta Classe Mntplcno Abruzzo,327.59000000000003,7.990000000000001,0.13775885820492795
Alta Vista Malbec Mendoza,137.88,11.49,0.19810378983412041
Alta Vista Rose,258.77,11.30578947368421,0.194927740801005
Altadonna Nero D'Avola,1594.8600000000001,13.99,0.24120731242640073
Altadonna Vermentino,530.41,8.99,0.1550002672418401
Alter Ego de Palmer Mrgx 11,2240.73,82.99,1.4308645359733378
Altitude Project Cab Svgn,87.89,7.989999999999999,0.13775885820492795
Altitude Project Chard,135.82999999999998,7.989999999999999,0.13775885820492795
Alto Ego De Palmer Margaux,2665.69,85.99,1.4825887630840742
Alto Moncayo Garnacha,12237.45,47.99,0.8274152196814133
Alto Moncayo Veraton Garnach,12446.34,21.99,0.3791385847216978
Altocedro Finca Tanos Malbec,1783.9499999999998,16.99,0.29293153953713713
Altocedro Malbec Reserva,239.92,29.99,0.5170698570169948
Altos del Cuco Red,8145.54,7.286103896103897,0.12562269755816644
Alverdi Pnt Grigio,14932.98,8.772818532818532,0.15125575273092767
Alverez de Toledo Godello,2115.99,10.521746031746032,0.1814097271158404
Alverez de Toledo Mencia Rbl,5350.84,10.473870967741936,0.18058429355467745
Amadeo Chianti,191.76,7.99,0.13775885820492795
Amador Double Barrel Bourbon,29952.510000000002,39.99,0.6894839473861163
Amapola Creek 09 Cab Svgn,2507.56,56.74,0.9782775487543945
Amapola Creek Cab Svgn 10,338.96999999999997,112.99,1.9481068070807017
Amapola Creek Chard RR 14,551.7,15.934444444444445,0.2747322744426188
Amapola Creek Cuvee Alis Org,149.94,24.99,0.4308628118324342
Amapola Creek Znfdl 09,287.96,71.99,1.2412090365673045
Amaras Cupreata Mezcal,6303.83,53.868504672897195,0.9287689232722331
Amaretto DiSaronno,1546173.66,17.514539629685686,0.30197534184861846
Amaretto DiSaronno Summer Pk,52419.85999999999,22.771065088757396,0.39260524740141617
Amaretto Villa Vittoria Liq,5936.5199999999995,17.067922077922073,0.29427502595559774
Amaretto di Amore,201082.33000000002,11.240321905681634,0.19379898768242074
Amaretto di Amore VAP,9650.35,9.322758620689655,0.16073749473170912
Amaro Montenegro Liqueur,24380.25,25.026784741144414,0.431497032600822
Amaro Sfumato Rabarbaro,43.98,21.99,0.3791385847216978
Amarula Cream Liqueur,108737.40999999999,21.217091633466133,0.3658125554262358
Amauta Corte IV -Red Blend,113.93999999999998,19.189999999999998,0.3308626394183438
Amayna Chard,51.98,25.99,0.4481042208693463
Ame Neyers Cab Svgn Napa,1999.75,79.99,1.3791403088626015
American Harvest Organic,51896.09,19.678581314878894,0.3392864697159632
American Thread Pnt Nr,2350.32,13.99,0.24120731242640073
Americano Petite Syrah,1560.12,17.528461538461535,0.3022153751723975
Amrut Fusion Single Malt,5384.19,66.54172413793103,1.1472730838834382
AnCnoc 12 Yr Old Scotch,58483.83,38.51754072924748,0.6640966748088786
Anakota 11 Helena Montana CS,1919.76,79.99,1.3791403088626015
Anakota Cab Svgn Helena Dako,1359.83,79.99,1.3791403088626015
Anarkos Puglia,299.76,12.49,0.21534519887103257
Anastasi Estates Dry Wh Mesn,47.96,11.99,0.20672449435257648
Anastasi Estates Messinia Rd,323.73,11.99,0.20672449435257648
Ancho Reyes Chile Liqueur,11224.73,26.58040590405904,0.4582836505590362
Anderra Cab Svgn,4374.21,9.110481927710845,0.15707754543905844
Anderra Carmenere,107.88,8.99,0.1550002672418401
Anderra Svgn Bl,5655.8,9.164757281553399,0.15801332901528103
Andre Bjls Vlgs La Treille,2795.88,13.230963855421688,0.2281204597839253
Andre Bourgogne Pnt Nr RSV,12986.04,16.331040462427744,0.2815701486110794
Andre Brut,140239.79,5.865321998969604,0.10112641571743405
Andre Cold Duck,15360.84,5.858902439024391,0.10101573345858167
Andre Extra Dry,244003.85,5.386504938673614,0.09287093492701907
Andre Jacquart Brut Experien,499.90000000000003,49.99,0.8618980377552377
Andre Moscato,558.04,5.805789473684211,0.1000999910979883
Andre Pink,52191.44,5.868833433553819,0.10118695779740688
Andre Pink Moscato,240.57999999999998,5.64625,0.09734930577466513
Andre Spumante Calif,2295.15,5.860967741935484,0.10105134219085694
Andrew Will Two Blondes WA,803.88,66.99,1.1550019913827436
AnestasiA Vodka,7990.389999999999,30.890552486187843,0.5325966507905676
Anew Rose,14112.27,10.28171270718232,0.17727121438454757
Anew Rsl,13142.64,10.568143360752057,0.18220968244345348
Angel's Envy NH Blend Bourbn,6346.62,45.99,0.792932401607589
Angel's Envy Rye,34475.689999999995,79.99,1.3791403088626015
Angela Yamhill-Carlton Pnt N,1072.71,36.99,0.6377597202753799
Angeline Cab Svgn California,18956.13,8.622475247524752,0.14866362265322444
Angeline Chard Cal,217.76,9.74,0.16793132401952418
Angeline Chard RRV,22166.09,13.129917695473251,0.22637828160864504
Angeline Pnt Nr,223629.58000000002,9.831710008879867,0.16951253379540082
Angeline Pnt Nr Rsv,190470.9,13.513735542896601,0.23299584211173816
Angeline Rsv Cab Svgn,20447.39,15.108742724097787,0.26049601333964
Angeline Svgn Bl RRV,255.15,7.29,0.12568987187908945
Angelini Pnt Grigio Veneto,58661.03,10.328303512259774,0.178074505512247
Angelini Pnt Nr Veneto,31536.69,10.08452736318408,0.17387146121258967
Angelini Sangiovese Pesaresi,1888.81,16.166470588235295,0.27873273209497423
Angels & Cowboys Rose,12087.36,13.99,0.24120731242640073
Angels Envy Hanover Chop,275.94,45.99,0.792932401607589
Angels Envy Whiskey,160767.84,49.99,0.8618980377552377
Angels Landing Cab Svgn,4817.59,19.99,0.3446557666478735
Angels Landing Chard,119.94,19.99,0.3446557666478735
Angels Landing Pnt Nr Sonoma,79.96,19.99,0.3446557666478735
Angels Landing Rsv Cab Svgn,1259.58,29.99,0.5170698570169948
Angels Landing Svgn Bl,461.71999999999997,16.49,0.28431083501868104
Angoves Nine Vines Moscato,395.67,11.99,0.20672449435257648
Anima Negra Quibia,363.74,13.99,0.24120731242640073
Animo Cab Svgn,5179.26,69.99,1.2067262184934802
Anna de Codorniu Brut Cava,20522.89,11.467272727272727,0.19771193962873604
Anna de Codorniu Brut Rose,191.88,15.99,0.275690130500225
Annabella Cab Svgn Napa,1039.35,15.99,0.275690130500225
Anne Amie Pnt Nr,23639.89,23.494838709677417,0.40508412444982517
Anne Amie Twelve Oaks Pnt Nr,1329.65,37.99,0.6550011293122919
Anne Pichon Gris Montagne Ro,29.98,14.99,0.2584487214633129
Ansac VS Cognac,25.98,12.99,0.22396590338948863
Anselmi San Vincenzo,1797.0,5.99,0.10327604013110368
Antech Limoux Brut,1618.65,11.989999999999998,0.20672449435257648
Antech Limoux Emotion Sprklg,1664.81,13.99,0.24120731242640073
Anterra Chardonnay,4634.2,7.99,0.13775885820492795
Anthology Conn Crk Cab Napa,4164.9400000000005,39.50063829787234,0.6810466621127337
Antica Cab Svgn Napa Valley,2791.4,46.46619047619048,0.801142596387071
Antica Chard Napa Valley,1193.62,31.275714285714283,0.5392373829215962
Antica Fratta Franciacorta B,6680.38,19.495524861878454,0.33613031853293635
Antico Colle Chianti Colli,263.76,10.99,0.18948308531566435
Antico Colle Rosso di Montep,11538.45,9.99,0.17224167627875223
Antico Colle Toscana Rosso,129.87,9.99,0.17224167627875223
Antigal Uno Cab Mendza,782.52,16.49,0.28431083501868104
Antigal Uno Malbec Mendoza,41807.12,15.64875,0.26980649966637876
Antinori Badia Chianti Clsc,455.88000000000005,37.99,0.6550011293122919
